slug,title,purpose,categories,source_url,secretariat,website,registered_contact_name,date_of_most_recent_agm
ceramics,All-Party Parliamentary Group for Ceramics,To provide a forum for discussing the work of the UK Ceramics sector for both companies and employees to support the work and production of UK Ceramics.,"Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/ceramics.htm,Ceramics UK acts as the group's secretariat.https://www.ceramics-uk.org/,None,Gareth Snell MP,2025-11-25 00:00:00
chagos-british-indian-ocean-territory,Chagos Islands (British Indian Ocean Territory) All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/chagos-british-indian-ocean-territory.htm,,https://sites.google.com/site/thechagosarchipelagofacts/parliamentary-group,Jeremy Corbyn MP,2025-10-15 00:00:00
channel-islands,Channel Islands All-Party Parliamentary Group,"To promote a better understanding of the constitutional position of the Channel Islands, the issues facing the Channel Islands and to develop better relations between the UK and the Channel Islands.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/channel-islands.htm,Government of Jersey and Government of Guernsey jointly act as the group's secretariat.https://www.gov.je/andhttps://www.gov.gg/,None,Sarah Champion MP,2025-10-29 00:00:00
charities-and-volunteering,All-Party Parliamentary Group on Charities and Volunteering,The APPG brings together MPs and Peers interested in the UK voluntary sector to learn more about how charities and volunteers strengthen and support our communities and wider society.,"Social Care, Welfare & Family Support|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/charities-and-volunteering.htm,National Council for Voluntary Organisations acts as the group's secretariat.https://www.ncvo.org.uk/,https://www.ncvo.org.uk/get-involved/all-party-parliamentary-group-on-charities-and-volunteering-appg/,Mary Kelly Foy MP,2024-11-20 00:00:00
chess,All-Party Parliamentary Group on Chess,To further chess in the UK.,"Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/chess.htm,,None,Neil Duncan-Jordan MP,2025-04-30 00:00:00
child-of-the-north,Child of the North All-Party Parliamentary Group,Building a fairer future for children across the North of England.,"Regions, Nations & Devolution|Education, Skills & Youth|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/child-of-the-north.htm,Health Equity North acts as the group's secretariat.https://www.healthequitynorth.co.uk/,https://www.healthequitynorth.co.uk/appg-reports,Emma Lewell MP,2025-12-16 00:00:00
children,All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children and young people, ensuring the voice and experience of children are at the heart of policy making; and to work with children, children's organisations, and politicians from all sides, to promote first-class government policy for children.","Social Care, Welfare & Family Support|Education, Skills & Youth",https://publications.parliament.uk/pa/cm/cmallparty/260223/children.htm,National Children's Bureau acts as the group's secretariat.https://www.ncb.org.uk/,https://www.ncb.org.uk/what-we-do/influencing-policy/all-party-parliamentary-group-children-appgc,Jess Asato MP,2025-11-19 00:00:00
children-in-police-custody,All-Party Parliamentary Group on Children  in Police Custody,"To raise awareness of the experiences of children in police custody; for parliamentarians to hear from children, professionals and experts about the impacts of police custody on children, their families, carers and communities; to develop recommendations for reform to ensure that children's rights are upheld and respected in police custody.","Justice, Law & Security|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/children-in-police-custody.htm,"Dr Miranda Bevan (King’s College, London) acts as the group's secretariat.https://www.kcl.ac.uk/people/miranda-bevan",https://appgchildrenincustody.org/,Michelle Welsh MP,2024-12-03 00:00:00
children-in-wales,All-Party Parliamentary Group on Children in Wales,"To tackle key issues affecting children and young people in Wales and develop policies on children’s rights, family support, and child poverty – ensuring every child has the best possible start in life.","Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/children-in-wales.htm,Children in Wales acts as the group's secretariat.https://www.childreninwales.org.uk/,https://www.childreninwales.org.uk/professionals/our-work/all-party-parliamentary-group-children-wales/,Andrew Ranger MP,2025-02-05 00:00:00
children-of-alcoholics,All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.","Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/children-of-alcoholics.htm,,None,George Freeman MP,2025-02-12 00:00:00
children-who-need-palliative-care,All-Party Parliamentary Group for Children who Need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.","Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/children-who-need-palliative-care.htm,Together for Short Lives acts as the group's secretariat.https://www.togetherforshortlives.org.uk/,https://www.togetherforshortlives.org.uk/changing-lives/speaking-up-for-children/policy-advocacy/all-party-parliamentary-group-for-children-who-need-palliative-care,Dame Siobhain McDonagh MP,2025-11-18 00:00:00
childrens-online-safety,All-Party Parliamentary Group on Children's Online Safety,"The APPG aims to drive policy change that enhances on line safety for children and young people. It seeks to raise the political profile of digital risks and promote effective harm mitigation measures, ensuring a safer digital environment for future generations.","Education, Skills & Youth|Science, Technology & Innovation|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/childrens-online-safety.htm,Internet Watch Foundation acts as the group's secretariat.https://www.iwf.org.uk/,https://www.childrensonlinesafetyappg.org/,Joani Reid MP,2026-02-10 00:00:00
china,All-Party Parliamentary China Group,"The group’s aim is to increase UK-China engagement and dialogue. The group wants the UK to challenge and compete with China; but also to cooperate with China including on policy areas such as AI regulation and safety, climate change, and trade and investment.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/china.htm,,None,Tony Vaughan MP,2024-10-29 00:00:00
choice-at-the-end-of-life,All-Party Parliamentary Group for Choice at the End of Life,"To improve the experience of dying in the UK by promoting and expanding people's choices at the end of life. To promote a change in the law to allow the choice of assisted dying for terminally ill, mentally competent adults.","Health, Medicine & Public Health|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/choice-at-the-end-of-life.htm,Dignity in Dying acts as the group's secretariat.https://www.dignityindying.org.uk/,http://www.appg-endoflifechoice.org.uk/,Kevin McKenna MP,2025-12-10 00:00:00
christianity-in-the-holy-land,All-Party Parliamentary Group on Christianity in the Holy Land,To promote the heritage and contemporary role of Christianity in the Holy Land and the Christian contribution to peace in its birthplace.,"International Affairs, Development & Trade|Religion, Faith & Belief Communities",https://publications.parliament.uk/pa/cm/cmallparty/260223/christianity-in-the-holy-land.htm,Good Faith Partnership acts as the group's secretariat.https://goodfaith.org.uk/,https://appgchristianityintheholyland.org.uk/,Rebecca Smith MP,2026-02-10 00:00:00
christians-in-parliament,Christians in Parliament All-Party Parliamentary Group,To support Christians of all denominations and parties in their work in politics.,"Religion, Faith & Belief Communities|Governance, Democracy & Political Reform",https://publications.parliament.uk/pa/cm/cmallparty/260223/christians-in-parliament.htm,The Parliamentary Christian Trust and the Bible Society (https://www.biblesociety.org.uk/)jointly act as the group's secretariat.,http://www.christiansinparliament.org.uk/,Tim Farron MP,2025-12-15 00:00:00
citizens-rights,All-Party Parliamentary Group on Citizens' Rights,"The APPG aims to raise awareness of the challenges facing EU citizens in the UK and Britons abroad. We work cross-party to help secure immigration status and the rights set out under the Withdrawal Agreement after Brexit, and to improve voting rights and representation.","Human Rights, Equality & Social Justice|International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/citizens-rights.htm,New Europeans UK acts as the group's secretariat.https://neweuropeans.uk/,None,Manuela Perteghella MP,2025-01-15 00:00:00
city-regions-transport,All-Party Parliamentary Group on City Regions Transport,"The APPG provides an opportunity for parliamentarians from across Urban Transport Group (UTG) member areas and the whole country to engage on the latest developments in the sector, and to receive updates and briefings from UTG, our member transport authorities, sector leaders and other stakeholders.","Infrastructure, Transport & Mobility",https://publications.parliament.uk/pa/cm/cmallparty/260223/city-regions-transport.htm,Urban Transport Group acts as the group's secretariat.https://www.urbantransportgroup.org/,https://www.urbantransportgroup.org/city-regions-transport-appg,Mr Clive Betts MP,2024-12-11 00:00:00
classical-music,All-Party Parliamentary Group on Classical Music,"To bring together parliamentarians who have an interest in and wish to further the appreciation and championing of classical music; to act as an interface between British orchestras' on and off-stage activities, the wider classical music industry and key decision makers and opinion formers.","Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/classical-music.htm,Association of British Orchestras acts as the group's secretariat.http://www.abo.org.uk/,None,Valerie Vaz MP,2024-11-27 00:00:00
classics,All-Party Parliamentary Group for Classics,"To provide a forum for parliamentarians to discuss, with others, issues of strategic national importance affecting the teaching and learning of classics in schools, colleges, universities, museums and communities.","Education, Skills & Youth|Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/classics.htm,The Classical Association acts as the group's secretariat.https://classicalassociation.org,https://classicalassociation.org/all-party-parliamentary-group-for-classics/,Peter Swallow MP,2026-02-10 00:00:00
climate-change,All-Party Parliamentary Group on Climate Change,To run events and activities in parliament with the purpose of advancing understanding of policy issues surrounding climate change and enabling cross-party discussion and action on climate policy.,"Environment, Climate & Sustainability",https://publications.parliament.uk/pa/cm/cmallparty/260223/climate-change.htm,Uplift acts as the group's secretariat.https://upliftuk.org/,https://www.climateappg.co.uk/,Luke Murphy MP,2025-09-09 00:00:00
climate-nature-and-security,"All-Party Parliamentary Group for Climate, Nature and Security","To advance understanding of the issues surrounding climate, biodiversity, and security by communicating salient information and analysis through events and activities in Parliament - with the purpose of supporting informed cross-party discussion and action on climate security policy in order to improve the UK’s resilience.","Environment, Climate & Sustainability|Justice, Law & Security",https://publications.parliament.uk/pa/cm/cmallparty/260223/climate-nature-and-security.htm,Climate Change & (In)Security Project acts as the group's secretariat.https://cciproject.uk/,https://www.appgclimsec.uk/,Barry Gardiner MP,2025-12-11 00:00:00
climatetech,All-Party Parliamentary Group on ClimateTech,"The APPG will champion the UK’s £26bn ClimateTech sector, bridging policymakers and innovators to advance technologies tackling emissions, adapting to climate change, and enhancing sustainability. It will foster collaboration, celebrate innovation, and drive impactful dialogue to position the UK as a leader in climate solutions.","Environment, Climate & Sustainability|Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/climatetech.htm,Startup Coalition acts as the group's secretariat.https://startupcoalition.io/,https://www.climatetechappg.co.uk/,Edward Morello MP,2026-01-28 00:00:00
closing-the-guantanamo-bay-detention-facility,All-Party Parliamentary Group for Closing the Guantanamo Bay Detention Facility,To urge the UK government to: call on the US government to finally close Guantanamo; work internationally on the urgent and humane resettlement of detainees approved for release; and call on the US government to ensure that the detainees receive adequate care for their longstanding physical and mental health needs.,"Justice, Law & Security|Human Rights, Equality & Social Justice|International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/closing-the-guantanamo-bay-detention-facility.htm,UK Guantanamo Network acts as the group's secretariat.https://ukguantanamonetwork.org/,https://ukguantanamonetwork.org/appg,Chris Law MP,2025-07-16 00:00:00
coastal-communities,All-Party Parliamentary Group for Coastal Communities,"To consider current issues affecting coastal communities and to actively seek strategies to address these to enhance health, wellbeing, education, infrastructure, environment and economies within these unique communities.","Regions, Nations & Devolution",https://publications.parliament.uk/pa/cm/cmallparty/260223/coastal-communities.htm,"Coastal Partnership Network, Coastal Communities Alliance and LGA Coastal SIG jointly act as the group's secretariat.https://www.coastalpartnershipsnetwork.org.uk/andhttps://www.coastalcommunities.co.uk/andhttps://lgacoastalsig.com/",https://www.coastalpartnershipsnetwork.org.uk/coastal-communities-appg,Alison Hume MP,2025-11-03 00:00:00
commercial-sexual-exploitation,All-Party Parliamentary Group on Commercial Sexual Exploitation,"To develop and advocate for public policy to prevent commercial sexual exploitation - which is the exchange of money, accommodation, services or other goods in return for sex acts. The primary objectives of the APPG's work are to support victims, hold perpetrators to account, and deter demand for commercial sexual exploitation.","Human Rights, Equality & Social Justice|Justice, Law & Security",https://publications.parliament.uk/pa/cm/cmallparty/260223/commercial-sexual-exploitation.htm,UK Feminista acts as the group's secretariat.https://ukfeminista.org.uk/,https://www.appg-cse.uk/,Tonia Antoniazzi MP,2026-02-10 00:00:00
commonwealth,All-Party Parliamentary Group for the Commonwealth,To promote the Commonwealth through engagement with Commonwealth partners and non­government stakeholders; to take advantage of opportunities within the widening Commonwealth network; to ensure the argument is made for Britain's diplomatic realignment towards the Commonwealth; and to ensure that there is a hub for dialogue between Commonwealth interest groups.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/commonwealth.htm,,https://www.royalcwsociety.org/commonwealthappg,Andrew Rosindell MP,2025-10-13 00:00:00
commonwealth-war-graves-commission-and-commemoration,All-Party Parliamentary Group for the Commonwealth War Graves Commission and Commemoration,To raise awareness of the CWGC's (Commonwealth War Graves Commission) work commemorating war casualties; learn of the scope and breadth of work undertaken by CWGC in fulfilling its mission; arrange site visits to CWGC cemeteries and memorials in the UK and internationally; raise awareness of other organisations' work relevant to the commemoration of war casualties.,"Arts, Culture, Heritage & Media|International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/commonwealth-war-graves-commission-and-commemoration.htm,Commonwealth War Graves Commission acts as the group's secretariat.https://www.cwgc.org/,None,Rebecca Smith MP,2026-02-09 00:00:00
community-development,All-Party Parliamentary Group on Community Development,To raise awareness among British parliamentarians of methods and best practice to improve the stability of families and communities.,"Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/250618/community-development.htm,,None,Sir Edward Leigh MP,2024-11-26 00:00:00
community-development-finance-institutions,All-Party Parliamentary Group on Community Development Finance Institutions (CDFIs),"The Group aims to accelerate the scale and impact of CDFIs by advancing policies that strengthen their capitalisation and embed community finance within mainstream financial services. Through proactive stakeholder engagement, the Group will champion reforms that expand fair access to finance for underserved people and neighbourhoods.","Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/community-development-finance-institutions.htm,The Community Development Finance Association acts as the group's secretariat.https://responsiblefinance.org.uk/,None,Gareth Thomas MP,2025-12-17 00:00:00
compassion-in-politics,All-Party Parliamentary Group for Compassion in Politics,"To promote compassion, empathy, and integrity in political life. To modernise and reform political culture and processes to reduce division, build trust, and support policies that prioritise compassion, inclusion, equity and the wellbeing of future generations at a local, national and international level.","Governance, Democracy & Political Reform|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/compassion-in-politics.htm,Compassion in Politics acts as the group's secretariat.https://www.compassioninpolitics.com/,https://www.compassioninpolitics.com/appg,Kim Leadbeater MP,2025-06-24 00:00:00
conflict-prevention-conflict-resolution-and-peacebuilding,"All-Party Parliamentary Group on Conflict Prevention, Conflict Resolution and Peacebuilding","The APPG will provide a forum for the discussion and analysis of conflict prevention, conflict resolution and peacebuilding, both in specific conflicts and globally; and to build cross-party consensus around effective approaches and the need for strategic prioritisation of conflict prevention.","International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/conflict-prevention-conflict-resolution-and-peacebuilding.htm,Mercy Corps and Search for Common Ground jointly act as the group's secretariat.https://europe.mercycorps.org/andhttps://www.sfcg.org/,None,Alex Ballinger MP,2025-01-07 00:00:00
consumer-protection,All-Party Parliamentary Group on Consumer Protection,"To provide a voice for ordinary retail consumers across a range of sectors in the UK economy; to raise awareness of issues, rights and obligations in the field of consumer protection with parliamentarians and the wider public.","Finance, Markets & Consumer Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/consumer-protection.htm,Chartered Trading Standards Institute acts as the group's secretariat.https://www.tradingstandards.uk/,https://www.tradingstandards.uk/news-policy-campaigns/all-party-parliamentary-group-appg-for-consumer-protection/,Gill Furniss MP,2025-02-12 00:00:00
council-and-social-housing,All-Party Parliamentary Group on Council and Social Housing,"The APPG brings together parliamentarians to address homelessness and housing affordability through the delivery of council and social rent homes. It provides a forum for discussion, briefings, and evidence to support informed parliamentary debate and policy change.","Housing, Planning & Built Environment",https://publications.parliament.uk/pa/cm/cmallparty/260223/council-and-social-housing.htm,Shelter acts as the group's secretariat.https://www.shelter.org.uk/,None,Chris Hinchliff MP,2026-01-28 00:00:00
council-tax-reform,All-Party Parliamentary Group on Council Tax Reform,"To investigate policy changes around council tax, land value taxes, property taxes and local government finances in the round.","Governance, Democracy & Political Reform|Finance, Markets & Consumer Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/council-tax-reform.htm,,None,Mr Jonathan Brash MP,2025-12-10 00:00:00
counter-extremism,All-Party Parliamentary Group on Counter Extremism,"This group will tackle rising extremism below the terrorism threshold, including online hate, disinformation, and community intimidation. It aims to raise awareness, promote evidence-based solutions, and protect the UK’s democratic values and social cohesion.","Justice, Law & Security|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/counter-extremism.htm,,None,Damien Egan MP,2025-07-22 00:00:00
craft,All-Party Parliamentary Group for Craft,"To enhance the understanding and promotion of craft in the UK, and to ensure that craft skills are supported and passed on to future generations.","Arts, Culture, Heritage & Media|Education, Skills & Youth",https://publications.parliament.uk/pa/cm/cmallparty/260223/craft.htm,,None,Sir John Hayes MP,2025-12-02 00:00:00
creative-health,All-Party Parliamentary Group on Creative Health,"To raise awareness of the benefits of creativity, culture and the arts for our health and wellbeing and to stimulate progress towards making these benefits a reality across the country.","Arts, Culture, Heritage & Media|Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/creative-health.htm,National Centre for Creative Health acts as the group's secretariat.https://ncch.org.uk/,https://ncch.org.uk/appg-on-creative-health,Dr Simon Opher MP,2026-02-10 00:00:00
credit-unions,All-Party Parliamentary Group on Credit Unions,To provide a forum for discussing the work of credit unions and the need to secure a legislative and regulatory regime which will allow credit unions to scale up and provide inclusive financial services for many more people.,"Finance, Markets & Consumer Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/credit-unions.htm,Association of British Credit Unions Limited (ABCUL) acts as the group's secretariat.https://www.abcul.coop/,None,None,2025-09-16 00:00:00
cricket,All-Party Parliamentary Group for Cricket,"The promotion and support of men's and ladies cricket. Liaison with cricketing authorities, the Lords and Commons Cricket Team and cricketing charities. To promote the game and its benefits across Parliament through regular briefings and cricket related events.","Sport, Recreation & Physical Activity",https://publications.parliament.uk/pa/cm/cmallparty/260223/cricket.htm,,None,Andrew Lewin MP,2026-02-11 00:00:00
critical-minerals,All-Party Parliamentary Group on Critical Minerals,To support the better understanding of the role of critical minerals within the supply chain of the future green economy and defence. To help identify the UK’s offering in the critical minerals sector and what challenges and opportunities exist.,"Economy, Business & Industry|Environment, Climate & Sustainability",https://publications.parliament.uk/pa/cm/cmallparty/260223/critical-minerals.htm,Critical Minerals Association acts as the group's secretariat.https://www.criticalmineral.org/,None,Noah Law MP,2025-10-29 00:00:00
croatia,All-Party Parliamentary Group on Croatia,To foster closer relations between the United Kingdom and Croatia.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/croatia.htm,,None,Sir Edward Leigh MP,2024-11-26 00:00:00
crown-dependencies-and-british-overseas-territories,All-Party Parliamentary Group on the Crown Dependencies and British Overseas Territories,"To act as a cross party forum which will discuss the issues affecting the Crown Dependencies and British Overseas Territories and promote a better understanding of the Crown Dependencies and British Overseas Territories through closer relations between British parliamentarians, the governments of the dependencies and territories and their people.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/crown-dependencies-and-british-overseas-territories.htm,,None,Andrew Rosindell MP,2025-10-29 00:00:00
crypto-and-digital-assets,All-Party Parliamentary Group on Crypto and Digital Assets,To provide a forum for parliamentarians to discuss the challenges and opportunities relating to the growth and competitiveness of the crypto and digital assets sector and to explore the need for future regulation.,"Finance, Markets & Consumer Affairs|Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/crypto-and-digital-assets.htm,CryptoUK acts as the group's secretariat.https://cryptouk.io/,https://cryptouk.io/appg,Gurinder Singh Josan MP,2025-07-08 00:00:00
cuba,All-Party Parliamentary Group on Cuba,"To meet and exchange views with visitors from Cuba and discuss developments within the country, to encourage government links between the UK and Cuba.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/cuba.htm,,None,Steve Witherden MP,2026-01-06 00:00:00
customer-service,All-Party Parliamentary Group on Customer Service,"To raise awareness and understanding of customer service, including its impact on economic growth. To improve public services, business performance and employability through customer service skills training and provide an improved outcome for customers and citizens.","Economy, Business & Industry|Finance, Markets & Consumer Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/customer-service.htm,The Institute of Customer Service acts as the group's secretariat.https://www.instituteofcustomerservice.com/,https://www.instituteofcustomerservice.com/media/all-party-parliamentary-group,Mr Connor Rand MP,2024-12-10 00:00:00
cyber-innovation,All-Party Parliamentary Group for Cyber Innovation,"To provide a forum for discussion of ideas, solutions and policies to unlock innovation, growth, and diversity in the cyber sector. The APPG brings together parliamentarians, industry professionals, academia, media and civil society to facilitate mutual learning, change perceptions and develop new and innovative policy recommendations.","Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/cyber-innovation.htm,Cybersecurity Business Network acts as the group's secretariat.https://cb-network.org/,None,Dan Aldridge MP,2026-02-11 00:00:00
cyber-security-and-business-resilience,All-Party Parliamentary Group on Cyber Security and Business Resilience,"To be a forum for cyber security / business resilience briefings and discussion. To address developments in these sectors and techniques affecting consumers, business and their role in defence, the UK economy/society and the CNI.  To examine security, identity, regulation and fraud. To raise awareness and understanding for non-specialists.","Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/cyber-security-and-business-resilience.htm,Wychwood Consulting Ltd acts as the group's secretariat.https://www.wychwoodconsultingltd.co.uk/,http://www.appgcybersecurity.org/,Feryal Clark MP,2026-01-12 00:00:00
cycling-and-walking,All-Party Parliamentary Group for Cycling and Walking,"To champion cycling and walking in the context of the growing importance of all forms of active travel. Our main aim is to get more people cycling and walking in the UK, more often and more safely.","Infrastructure, Transport & Mobility|Environment, Climate & Sustainability",https://publications.parliament.uk/pa/cm/cmallparty/260223/cycling-and-walking.htm,,https://appgcw.org/,Fabian Hamilton MP,2025-12-17 00:00:00
cyprus,All-Party Parliamentary Group for Cyprus,"To promote relationships between the UK and the Republic of Cyprus and their elected parliamentarians and people, as well as support efforts to reunite the island in line with the agreed UN framework.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/cyprus.htm,,None,Bambos Charalambous MP,2025-11-04 00:00:00
czechia,All-Party Parliamentary Group on Czechia,To increase and promote shared knowledge and political and cultural relationships between Britain and Czechia.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/czechia.htm,,None,Chris Law MP,2025-06-30 00:00:00
dairy,All-Party Parliamentary Group for Dairy,The APPG's purpose is to provide a forum for parliamentarians to discuss issues of interest for the dairy industry. This is to ensure members are fully briefed on developments in the dairy supply chain and to support the development of a sustainable and profitable dairy industry.,"Food, Agriculture & Rural Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/dairy.htm,Dairy UK acts as the group's secretariat.http://dairyuk.org/,None,Ben Maguire MP,2026-02-03 00:00:00
dalits-and-adivasis-tribals,All-Party Parliamentary Group for Dalits and Adivasis (Tribals),To draw attention to the discrimination against Dalits (formerly known as untouchables) and Adivasis (tribals) wherever it occurs and support attempts to eliminate it.,"Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260112/dalits-and-adivasis-tribals.htm,,None,Jeremy Corbyn MP,2025-03-19 00:00:00
dark-skies,All-Party Parliamentary Group for Dark Skies,"To highlight the importance of preserving our ability to see a dark sky at night; promote the adoption of dark sky friendly lighting and planning policies; protect existing UK Dark Sky reserves and support new reserves; and collaborate with overseas groups such as Dark Sky International, and Dark Sky UK.","Environment, Climate & Sustainability",https://publications.parliament.uk/pa/cm/cmallparty/260223/dark-skies.htm,Royal Astronomical Society acts as the group's secretariat.https://ras.ac.uk/,https://appgdarkskies.co.uk/,Andrew Griffith MP,2026-01-19 00:00:00
data-centres,All-Party Parliamentary Group for Data Centres,"To foster cross-party understanding of data centre development in the UK supporting UK economic growth, digital infrastructure resilience, and technological innovation, scrutinise the challenges and opportunities facing the sector, and make evidence-based policy recommendations that support sustainable growth while addressing infrastructure, energy, and planning considerations.","Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/data-centres.htm,iNHouse Communications acts as the group's secretariat.https://inhouse.london/,https://datacentresappg.co.uk/,Chris Curtis MP,2026-01-14 00:00:00
deafness,All-Party Parliamentary Group Deafness,To promote the interests of people who are deaf or have a hearing loss.,"Health, Medicine & Public Health|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260112/deafness.htm,RNID acts as the group's secretariat.https://rnid.org.uk,https://rnid.org.uk/get-involved/campaign-with-us/the-all-party-parliamentary-group-on-deafness,Catherine Atkinson MP,2024-12-10 00:00:00
debt-and-financial-inclusion,All-Party Parliamentary Group on Debt and Financial Inclusion,To provide a forum for MPs and Peers to discuss matters related to the areas of debt and financial inclusion.,"Finance, Markets & Consumer Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/debt-and-financial-inclusion.htm,StepChange Debt Charity acts as the group's secretariat.https://www.stepchange.org/,None,Gill Furniss MP,2025-01-15 00:00:00
deep-geothermal,All-Party Parliamentary Group on Deep Geothermal,"The APPG is for parliamentarians to share information and ideas, and to work collaboratively with stakeholders to develop a new British growth industry that is key to energy security and net zero, with the long-term goal of becoming a mainstream renewable energy source in the UK.","Energy & Utilities|Environment, Climate & Sustainability",https://publications.parliament.uk/pa/cm/cmallparty/260223/deep-geothermal.htm,Association for Renewable Energy and Clean Technology (REA) acts as the group's secretariat.https://www.r-e-a.net/,https://www.r-e-a.net/appgs/working-with-westminster-on-deep-geothermal/,Dr Kieran Mullan MP,2025-12-17 00:00:00
defence-and-security-sectors-supporting-local-communities,All-Party Parliamentary Group on the Defence and Security Sectors Supporting Local Communities,The APPG is focused on showcasing and enhancing the social value contribution made by the defence and security sectors to local communities across the UK. The group unites parliamentarians who are dedicated to advocating for the role these sectors play in national security and bolstering local economies and communities.,"Justice, Law & Security|Economy, Business & Industry|Regions, Nations & Devolution",https://publications.parliament.uk/pa/cm/cmallparty/260223/defence-and-security-sectors-supporting-local-communities.htm,Chelgate Limited acts as the group's secretariat.https://chelgate.com/,None,Alex Baker MP,2025-11-25 00:00:00
defence-technology,All-Party Parliamentary Group for Defence Technology,"The APPG promotes engagement with the UK's defence tech sector, fostering collaboration among parliamentarians, industry, and stakeholders. It explores technological developments, assesses their impact on national security, and addresses policy challenges, supporting innovation and growth to enhance the UK's defence capabilities.","Science, Technology & Innovation|Justice, Law & Security",https://publications.parliament.uk/pa/cm/cmallparty/250731/defence-technology.htm,APPG Secretariat Services Ltd acts as the group's secretariat.,https://www.defencetechappg.org.uk/,Fred Thomas MP,2024-11-19 00:00:00
defending-democracy,All-Party Parliamentary Group for Defending Democracy,"The APPG for Defending Democracy mirrors the focus of the Home Office task force to engage parliamentarians to promote integrity of our democratic process and the nature and extent of foreign and domestic threats which undermine them. By engaging with government, we will make recommendations to counter interference and coercion.","Governance, Democracy & Political Reform|Justice, Law & Security",https://publications.parliament.uk/pa/cm/cmallparty/260223/defending-democracy.htm,,None,Nick Timothy MP,2025-12-17 00:00:00
defibrillators,All-Party Parliamentary Group for Defibrillators,"To provide a forum for parliamentary discussion on the issues surrounding sudden cardiac arrest (SCA) defibrillators and resuscitation, whilst providing evidence-based solutions to improve the survival rates of SCA.","Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/defibrillators.htm,DGA Group acts as the group's secretariat.https://dgagroup.com/,https://defibrillatorappg.wordpress.com/,Steve Darling MP,2026-01-27 00:00:00
