slug,title,purpose,categories,source_url,secretariat,website,registered_contact_name,date_of_most_recent_agm
aid-match,All-Party Parliamentary Group for Aid Match,"To promote the scaling up of cost-effective aid policy and practice, namely proven aid matching mechanisms to unleash more funds, for more direct delivery to front line organisations. To inform debate and propose Real Aid recommendations and action towards reducing aid wastage to boost the impact of international development","International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/aid-match.htm,Real Aid acts as the group's secretariat.https://real-aid.org,None,Emily Darlington MP,2025-02-04 00:00:00
air-ambulances,All-Party Parliamentary Group for Air Ambulances,"To drive positive advancements for the UK’s air ambulances by championing crucial improvements and addressing key challenges faced by air ambulance charities. Through advocacy and collaboration, the group will enhance the delivery of lifesaving pre-hospital care, ensuring continued progress in this vital field.","Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/air-ambulances.htm,Air Ambulances UK acts as the group's secretariat.https://www.airambulancesuk.org/,https://www.airambulancesuk.org/appg,Pete Wishart MP,2025-03-04 00:00:00
airport-communities,All-Party Parliamentary Group on Airport Communities,"To examine the economic, social, health and environmental impacts of airport operations on local communities.","Economy, Business & Industry|Environment, Climate & Sustainability|Infrastructure, Transport & Mobility|Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/airport-communities.htm,No Third Runway Coalition acts as the group's secretariat.https://www.no3rdrunwaycoalition.co.uk/,https://www.airportcommunities.co.uk/,Munira Wilson MP,2025-05-12 00:00:00
alevis,All-Party Parliamentary Group on Alevis,To recognise the important contribution that the Alevi community makes to British society.,"Religion, Faith & Belief Communities",https://publications.parliament.uk/pa/cm/cmallparty/260223/alevis.htm,British Alevi Federation acts as the group's secretariat.http://www.alevinet.org/,None,Bambos Charalambous MP,2025-02-10 00:00:00
allergy,All-Party Parliamentary Group on Allergy,"The All-Party Parliamentary Group (APPG) for Allergy raises awareness of allergy issues in turn hopes to influences policy, and supports people affected by allergic conditions. It brings together parliamentarians, experts, and stakeholders to promote better services, research, and education on allergies across the UK.","Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/allergy.htm,National Allergy Strategy Group  acts as the group's secretariat.https://www.nasguk.org/,None,Jodie Gosling MP,2025-06-18 00:00:00
allied-health-professionals,All-Party Parliamentary Group on Allied Health Professionals,"Allied Health Professionals represent the third largest clinical workforce within the health and care system. There are currently 14 protected titles for AHPs, encompassing 15 roles. AHPs deliver care across the entire system, playing a vital role in assessing, diagnosing, treating, and discharging patients across a range of settings.","Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/allied-health-professionals.htm,Chartered Society of Physiotherapy acts as the group's secretariat.https://www.csp.org.uk/,None,Sonia Kumar MP,2026-01-06 00:00:00
animal-welfare,All-Party Parliamentary Group for Animal Welfare,"To advocate for improvements to animal welfare through policy, legislation and best practice.",Animals & Animal Welfare,https://publications.parliament.uk/pa/cm/cmallparty/260223/animal-welfare.htm,RSPCA acts as the group's secretariat.https://www.rspca.org.uk/,https://apgaw.org/,Dr Neil Hudson MP,2026-01-28 00:00:00
anti-corruption-and-responsible-tax,All-Party Parliamentary Group on Anti-Corruption and Responsible Tax,"To develop and advocate for policies which promote fair taxation and put a stop to corruption or financial crime. The APPG works not only for the headline fiscal purpose of increasing public revenue, but also for the wider purpose of ensuring that the public continues to have faith in the system. We are non-partisan and work to build consensus across the political divide.","Finance, Markets & Consumer Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/anti-corruption-and-responsible-tax.htm,The Foreign Policy Centre acts as the group's secretariat.https://fpc.org.uk/,https://anticorruption-responsibletax.org/,Phil Brickell MP,2025-09-10 00:00:00
anti-social-behaviour,All-Party Parliamentary Group on Anti-Social Behaviour,"The APPG will provide a forum for parliamentarians, landlords and other stakeholders to discuss anti-social behaviour and how landlords, local authorities, the police and others can effectively respond to it.","Social Care, Welfare & Family Support|Justice, Law & Security",https://publications.parliament.uk/pa/cm/cmallparty/260223/anti-social-behaviour.htm,Resolve UK acts as the group's secretariat.https://www.resolveuk.org.uk/,None,Neil Coyle MP,2025-10-29 00:00:00
antimicrobial-resistance,All-Party Parliamentary Group on Antimicrobial Resistance,"The APPG exist to raise the profile of antimicrobial resistance, the need to preserve antimicrobials (including antibiotics, antivirals, antifungals, and antiparasitics) through education on their appropriate uses (including non-human uses), the lack of new treatments for infections and to help accelerate efforts to discover, research and develop new treatments.","Health, Medicine & Public Health|Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/antimicrobial-resistance.htm,British Society for Antimicrobial Chemotherapy acts as the group's secretariat.http://bsac.org.uk/,https://appgamr.com/,Dr Beccy Cooper MP,2025-01-21 00:00:00
